mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.011,0.021,8559.0,2206.0,1.0
0.011,0.025,9013.0,1401.0,1.01
0.011,0.018,6653.0,2191.0,1.0
0.009,0.013,5421.0,2400.0,1.0
0.01,0.025,9878.0,1840.0,1.0
0.011,0.021,8711.0,2278.0,1.0
0.011,0.015,7695.0,2090.0,1.0
0.011,0.02,8023.0,2110.0,1.0
0.011,0.022,8075.0,2109.0,1.01
0.011,0.026,7975.0,1935.0,1.0
0.011,0.025,7795.0,1953.0,1.0
0.011,0.02,6869.0,2342.0,1.0
0.012,0.024,7345.0,1991.0,1.0
0.012,0.019,5854.0,1925.0,1.0
0.01,0.017,7067.0,2158.0,1.0
0.011,0.021,8694.0,2097.0,1.0
0.013,0.022,5979.0,2064.0,1.0
0.011,0.021,7765.0,2091.0,1.0
0.01,0.021,9107.0,1940.0,1.0
0.011,0.024,8610.0,1976.0,1.0
0.008,0.012,7851.0,1975.0,1.0
0.013,0.024,6712.0,2008.0,1.0
0.013,0.022,6262.0,2055.0,1.0
0.011,0.016,6690.0,2323.0,1.0
0.012,0.016,5515.0,2076.0,1.0
0.011,0.02,7769.0,2295.0,1.0
0.01,0.016,6697.0,2392.0,1.0
0.012,0.022,6734.0,1753.0,1.0
0.01,0.022,10431.0,2227.0,1.0
0.01,0.021,9453.0,2229.0,1.0
0.01,0.024,9494.0,1731.0,1.0
0.011,0.022,7928.0,2094.0,1.0
0.011,0.018,6697.0,2249.0,1.0
0.011,0.017,5919.0,2088.0,1.0
0.011,0.025,9706.0,2061.0,1.0
0.011,0.023,8125.0,1905.0,1.0
0.01,0.012,6122.0,2335.0,1.0
0.011,0.022,8155.0,2105.0,1.0
0.01,0.021,8454.0,2245.0,1.0
0.011,0.023,7852.0,1860.0,1.0
0.011,0.022,8087.0,2182.0,1.01
